||option||type||description||
||--threads||int||Number of alignment threads to run in parallel on a single computer||
||--align||str||This is the aligner used to align particles to the previous class average. Default is None.||
||--saveali|| ||Save a stack file (aliptcls_XX.hdf) containing the aligned particles.||
||--aligncmp||str||The comparitor used for the --align aligner. Default is dot.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--raligncmp||str||The comparitor used by the second stage aligner.||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--path||str||Path to a folder where results should be stored, following standard naming conventions (default = 2da_XX)||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--ralign||str||This is the second stage aligner used to refine the first alignment. This is usually the 'refine' aligner.||
||--iter||int||Iteration number within path. Default = start a new iteration||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--cmp||str||The comparitor used to generate quality scores for the purpose of particle exclusion in classes, strongly linked to the keep argument.||
||-h, --help|| ||show this help message and exit||
