||option||type||description||
||--ref||str||Reference imageimage to use for alignment. Required||
||--align||str||This is the aligner used to align particles to the previous class average. Default is None.||
||--output||str||The name of the output class stack||
||--refn||int||Number of the reference image in 'ref'. Default=0||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--raligncmp||str||The comparitor used by the second stage aligner.||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--aligncmp||str||The comparitor used for the --align aligner. Default is dot.||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--ralign||str||This is the second stage aligner used to refine the first alignment. This is usually the 'refine' aligner.||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--cmp||str||The comparitor used to generate quality scores for the purpose of particle exclusion in classes, strongly linked to the keep argument.||
||-h, --help|| ||show this help message and exit||
