||option||type||description||
||--threads||int||||
||--align||str||The name of an 'aligner' to use prior to comparing the images||
||--cmpdiff|| ||Compare using the difference of the two children||
||--output||str||||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--parallel|| ||parallelism argument||
||--raligncmp||str||The name and parameters of the comparitor used by the second stage aligner. Default is dot.||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--aligncmp||str||Name of the aligner along with its construction arguments||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--ralign||str||The name and parameters of the second stage aligner which refines the results of the first alignment||
||--incomplete||int||The degree of incomplete allowed in the tree on each level||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--cmp||str||The name of a 'cmp' to be used in comparing the aligned images||
||-h, --help|| ||show this help message and exit||
||--nodes||str||||
