||option||type||description||
||--sf||str||The name of a file containing a structure factor curve.||
||--noisemin||float||Minimum resolution to examine for determining the noise parameters.||
||--noisemax||float||Maximum resolution to examine for determining the noise parameters.||
||--dfval||float||Set constant defocus for all images (positive is underfocus).||
||--dfmin||float||Set minimum possible defocus value (positive is underfocus).||
||--df|| ||Calculate defocus from entire CCD frame.||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--last||int||Last image to include in the plot.||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--first||int||First image to include in the plot.||
||--debug|| ||Show debugging messages.||
||--bf||float||Set constant B-factor (as defined in EMAN1) for all images.||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--ac||float||Set amplitude contrast (percentage, default=10).||
||--ctfcoverage|| ||Create a map showing the integrated SNR for the combined data.||
||-h, --help|| ||show this help message and exit||
||--dfmax||float||Set maximum possible defocus value (positive is underfocus).||
