||option||type||description||
||--hires|| ||Perform CTF processing for projects targeting 2-6 A resolution||
||--defocusmax||float||Maximum defocus in autofitting||
||--voltage||float||Microscope voltage in KV||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||-h, --help|| ||show this help message and exit||
||--midres|| ||Perform CTF processing for projects targeting 7-15 A resolution||
||--phaseplate|| ||Include phase/amplitude contrast in CTF estimation. For use with hole-less phase plates.||
||--lores|| ||Perform CTF processing for projects targeting 15-30 A resolution||
||--cs||float||Microscope Cs (spherical aberation)||
||--extrapad|| ||If particles were boxed more tightly than EMAN requires, this will add some extra padding||
||--invert|| ||Invert the contrast of the particles in output files (default false)||
||--constbfactor||float||Set B-factor to fixed specified value, negative value autofits||
||--fromscratch|| ||Force refitting of CTF from scratch, ignoring any previous fits.||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--ac||float||Amplitude contrast (percentage, default 10)||
||--outputonly|| ||Skips all of the initial steps, and just generates the final output, assuming previous steps completed successfully||
||--threads||int||Number of threads to run in parallel on the local computer||
||--highdensity|| ||If particles are very close together, this will interfere with SSNR estimation. If set uses an alternative strategy, but may over-estimate SSNR.||
||--version|| ||show program's version number and exit||
||--minqual||int||Files with a quality value lower than specified will be skipped||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--curdefocusfix|| ||Recomputes everything, but maintains the current particle-based defocus/astigmatism, including any manual adjustments||
||--defocusmin||float||Minimum defocus in autofitting||
||--astigmatism|| ||Includes astigmatism in automatic fitting (use e2rawdata first)||
||--apix||float||Angstroms per pixel for all images||
||-h, --help|| ||show this help message and exit||
