||option||type||description||
||--defocusmax||float||The end defocus value for grid search (microns)||
||--voltage||float||The voltage (in kV) of the microscope||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--windowsize||int||The amplitude contrast of the micrographs||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--cs||float||The spherical aberration of the microscope||
||-h, --help|| ||show this help message and exit||
||--maxres||float||The highest resolution to be fitted (Angstroms)||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--ac||float||The amplitude contrast of the micrographs||
||--importctffind3|| ||Import ctffind3 data?||
||--importctffind4|| ||Import ctffind4 data?||
||--version|| ||show program's version number and exit||
||--allmicrographs|| ||Run Ctffind3 on all micrographs in the micrographs directory?||
||--runctffind3|| ||Run ctffind3 on the selected micrographs?||
||--runctffind4|| ||Run ctffind4 on the selected micrographs?||
||--importrelionstar|| ||Import CTFFIND3 data in Relion STAR format. Put STAR files in 'ctffind3' folder||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--minres||float||The lowest resolution to be fitted (Angstroms)||
||--defocusmin||float||The starting defocus value for grid search (microns)||
||--apix||float||The angstrom per pixel of the micrographs||
||-h, --help|| ||show this help message and exit||
||--defocusstep||float||The step width for grid search (microns)||
