||option||type||description||
||--plot3d|| ||Data file(s) should be plotted rather than displayed in 3-D||
||--singleimage|| ||Display a stack in a single image view||
||--plot|| ||Data file(s) should be plotted rather than displayed in 2-D||
||--pdb||str||<pdb file> Show PDB structure.||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--fullrange|| ||A specialized flag that disables auto contrast for the display of particles stacks and 2D images only.||
||--newwidget|| ||Use the new 3D widgetD. Highly recommended!!!!||
||--classmx||str||<classmx>,<#> Show particles in one class from a classification matrix. Pass raw particle file as first argument to command.||
||--hist|| ||Data file(s) should be plotted as a histogram rather than displayed in 2-D.||
||--classes||str||<rawptcl>,<classmx> Show particles associated class-averages||
||-h, --help|| ||show this help message and exit||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
