||option||type||description||
||--cs||float||Microscope Cs (spherical aberation)||
||--phaseplate|| ||Include phase/amplitude contrast in CTF estimation. For use with hole-less phase plates.||
||--voltage||float||Microscope voltage in KV||
||--box||int||Forced box size in grid mode. Overrides any previous setting. ||
||--constbfactor||float||Set B-factor to fixed specified value, negative value autofits||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--astigmatism|| ||Includes astigmatism in automatic fitting||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--apix||float||Angstroms per pixel for all images||
||--gui|| ||This is a GUI-only program. This option is provided for self-consistency||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--usefoldername|| ||If you have the same image filename in multiple folders, and need to import into the same project, this will prepend the folder name on each image name||
||--ac||float||Amplitude contrast (percentage, default=10)||
||-h, --help|| ||show this help message and exit||
