||option||type||description||
||--threads||int||Number of threads to run in parallel on the local computer||
||--outfilto||str||Apply the local filter to the odd map as well and write to specified file||
||--outfilt||str||Output locally filtered average volume||
||--output||str||Output .143 resolution volume||
||--outfilte||str||Apply the local filter to the even map as well and write to specified file||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--verbose, -v||int||verbosity [0-9]. Larger values produce more output.||
||--overlap||int||Amount of oversampling to use in local resolution windows. Larger value -> larger output map||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--verbose, -v||int||verbosity [0-9]. Larger values produce more output.||
||--apix||float||A/pix to use for the comparison (default uses Vol1 apix)||
||--localsize||int||Size in pixels of the local region to compute the resolution in||
||--mask||str||Mask to apply to both input images before calculation||
||-h, --help|| ||show this help message and exit||
