||option||type||description||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--mrc16bit|| ||(deprecated, use --outmode instead) output as 16 bit MRC file||
||--threed2twod|| ||Process 3D image as a stack of 2D slices, then output as a 2D stack||
||--inplace|| ||Output overwrites input, USE SAME FILENAME, DO NOT 'clip' images.||
||--add||float||Adds a constant 'f' to the densities||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--translate||str||Translate by x,y pixels||
||--last||int||the last image in the input to process||
||--parallel, -P||str||Run in parallel, specify type:n=<proc>:option:option||
||--randomn||int||Selects a random subset of N particles from the file to operate on.||
||--calcsf||str||calculate a radial structure factor for the image and write it to the output file, must specify apix. divide into <n> angular bins||
||--interlv||str||Specifies a 2nd input file. Output will be 2 files interleaved.||
||--split||int||Splits the input file into a set of n output files||
||--randomize||str||Randomly rotate/translate the image. Specify: da,dxy,flip  da is a uniform distribution over +-da degrees, dxy is a uniform distribution on x/y, if flip is 1, random handedness changes will occur||
||--exclude||str||Excludes image numbers in EXCLUDE file||
||--scale||float||Scale by specified scaling factor. Clip must also be specified to change the dimensions of the output map.||
||--selfcl||int||Output file will be a 180x180 self-common lines map for each image.||
||--unstacking|| ||Process a stack of 2D images, then output a a series of numbered single image files||
||--select||str||Works only on the images in named selection set from bdb:select||
||--multfile||str||Multiplies the volume by another volume of identical size. This can be used to apply masks, etc.||
||-h, --help|| ||show this help message and exit||
||--average|| ||Averages all input images (without alignment) and writes a single output image||
||--addfile||str||Adds the volume to another volume of identical size||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--rfp|| ||this is an experimental option||
||--outnorescale|| ||If specified, floating point values will not be rescaled when writing data as integers. Values outside of range are truncated.||
||--parallel, -P||str||Run in parallel, specify type:n=<proc>:option:option||
||--list||str||Works only on the image numbers in LIST file||
||--anisotropic||str||Anisotropic scaling, stretches on one axis and compresses the orthogonal axis. Specify amount,angle. See e2evalrefine||
||--swap|| ||Swap the byte order||
||--clip||str||Specify the output size in pixels xsize,ysize[,xcenter,ycenter], images can be made larger or smaller.||
||--fouriershrink||float||Reduce an image size by an arbitrary scaling factor by clipping in Fourier space. eg - 2 will reduce image size to 1/2.||
||--setsfpairs|| ||Applies the radial structure factor of the 1st image to the 2nd, the 3rd to the 4th, etc||
||--plane||str||Change the plane of image processing, useful for processing 3D mrcs as 2D images.||
||--headertransform||int||This will take the xform.align2d header value from each particle, and apply it. Pass 0 to perform the transform or 1 to perform the inverse.||
||--averager||str||If --average is specified, this is the averager to use (e2help.py averager). Default=mean||
||--version|| ||show program's version number and exit||
||--writejunk|| ||Writes the image even if its sigma is 0.||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--fftavg||str||Incoherent Fourier average of all images and write a single power spectrum image||
||--calccont|| ||Compute the low resolution azimuthal contrast of each image and put it in the header as eval_contrast_lowres. Larger values imply more 'interesting' images.||
||--mrc8bit|| ||(deprecated, use --outmode instead) output as 8 bit MRC file||
||--norefs|| ||Skip any input images which are marked as references (usually used with classes.*)||
||--step||str||Specify <init>,<step>. Processes only a subset of the input data. For example, 0,2 would process only the even numbered particles||
||--radon|| ||Do Radon transform||
||--medianshrink||int||Reduce an image size by an integral scaling factor, uses median filter. eg - 2 will reduce image size to 1/2. Clip is not required.||
||--meanshrink||float||Reduce an image size by an integral (1.5 also allowed) scaling factor using average. eg - 2 will reduce image size to 1/2. Clip is not required.||
||--rotate||float||Rotate clockwise (in degrees)||
||--process||str||apply a processor named 'processorname' with all its parameters/values.||
||--threed2threed|| ||Process 3D image as a stack of 2D slices, then output as a 3D image||
||--mult||float||Multiply image by a constant. mult=-1 to invert contrast.||
||--rotavg|| ||Compute the 1-D rotational average of each image as a final step before writing the output||
||--fixintscaling||str||When writing to an 8 or 16 bit integer format the data must be scaled. 'noscale' will assume the pixel values are already correct, 'sane' will pick a good range, a number will set the range to mean+=sigma*number||
||--mraprep|| ||this is an experimental option||
||--first||int||the first image in the input to process [0 - n-1])||
||--apix||float||A/pixel for S scaling||
||--extractboxes|| ||Extracts box locations from the image header to produce a set of .box files for only the particles in the .lst files||
||--twod2threed|| ||Process a stack of 2D images, then output as a 3D image.||
||--outmode||str||All EMAN2 programs write images with 4-byte floating point values when possible by default. This allows specifying an alternate format when supported (float, int8, int16, int32, uint8, uint16, uint32). Values are rescaled to fill MIN-MAX range.||
||--fp||int||This generates rotational/translational 'footprints' for each input particle, the number indicates which algorithm to use (0-6)||
||-h, --help|| ||show this help message and exit||
||--outtype||str||output image format, 'mrc', 'imagic', 'hdf', etc. if specify spidersingle will output single 2D image rather than 2D stack.||
