||option||type||description||
||--output||str||Name of output file.||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--sym||str||Symmetry to be used in searching adjacent unit cells||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--refine|| ||Specify a refinement directory as an alternative to providing classmx files. Even and odd subsets will be interleaved based on input set.||
||-h, --help|| ||show this help message and exit||
||--printbad||float||Print the particle number if the orientation mismatch is larger than the specified angle in the last pair of files||
