||option||type||description||
||--input||str||The name of the file containing the particle data||
||--classnormproc||str||Normalization applied during class averaging||
||--parallel, -P||str||Run in parallel, specify type:<option>=<value>:<option>:<value>||
||--ncls||int||Number of classes to generate||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--path||str||Path for the refinement, default=auto||
||--parallel, -P||str||Run in parallel, specify type:<option>=<value>:<option>:<value>||
||--classraligncmp||str||The comparitor used by the second stage aligner in class averageing. Default is dot:normalize=1.||
||--classkeepsig|| ||Change the keep ('--keep') criterion from fraction-based to sigma-based.||
||--center||str||If the default centering algorithm (xform.center) doesn't work well, you can specify one of the others here (e2help.py processor center)||
||--classiter||int||Number of iterations to use when making class-averages (default=4)||
||-h, --help|| ||show this help message and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--classaverager||str||The averager used to generate the class averages. Default is 'mean'.||
||--threads||int||Number of threads to run in parallel on a single computer when multi-computer parallelism isn't useful||
||--classralign||str||The second stage aligner which refines the results of the first alignment in class averaging. Default is None.||
||--nbasisfp||int||Number of MSA basis vectors to use when classifying particles||
||--version|| ||show program's version number and exit||
||--iter||int||The total number of refinement iterations to perform||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--classcmp||str||The name and parameters of the comparitor used to generate similarity scores, when class averaging. Default is ccc'||
||--classaligncmp||str||This is the name and parameters of the comparitor used by the fist stage aligner  Default is dot.||
||--classalign||str||If doing more than one iteration, this is the name and parameters of the 'aligner' used to align particles to the previous class average.||
||--classkeep||float||The fraction of particles to keep in each class, based on the similarity score generated by the --cmp argument (default=0.8).||
||-h, --help|| ||show this help message and exit||
