||option||type||description||
||--classautomask|| ||This will apply an automask to the class-average during iterative alignment for better accuracy. The final class averages are unmasked.||
||--input||str||The name of the image file containing the particle data||
||--recon|| ||Default=auto. Reconstructor to use see e2help.py reconstructors -v||
||--orientgen||str||Default=auto. Orientation generator for projections, eg - eman:delta=5.0:inc_mirror=0:perturb=1||
||--breaksym|| ||If selected, reconstruction will be asymmetric with sym= specifying a known pseudosymmetry, not an imposed symmetry.||
||--classnormproc||str||Default=auto. Normalization applied during class averaging||
||--parallel, -P||str||Run in parallel, specify type:<option>=<value>:<option>=<value>. See http://blake.bcm.edu/emanwiki/EMAN2/Parallel||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--targetres||float||Target resolution in A of the final single-model refinements.||
||--path||str||The name of a directory where results are placed. Default = create new multi_xx||
||--m3dsetsf||str||Default=auto. Name of a file containing a structure factor to apply after refinement||
||--parallel, -P||str||Run in parallel, specify type:<option>=<value>:<option>=<value>. See http://blake.bcm.edu/emanwiki/EMAN2/Parallel||
||--m3dkeepsig|| ||Default=auto. The standard deviation alternative to the --m3dkeep argument||
||--classraligncmp||str||Default=auto. The comparitor used by the second stage aligner in class averageing.||
||--automask3d||str||Default=auto. Specify as a processor, eg - mask.auto3d:threshold=1.1:radius=30:nshells=5:nshellsgauss=5.||
||--m3dpreprocess||str||Default=auto. Normalization processor applied before 3D reconstruction||
||--pad||int||Default=auto. To reduce Fourier artifacts, the model is typically padded by ~25 percent - only applies to Fourier reconstruction||
||--classiter||int||Default=auto. The number of iterations to perform.||
||--speed||int||(1-7) Balances speed vs precision. Larger values sacrifice a bit of potential resolution for significant speed increases. Set to 1 when pushing resolution. default=5||
||-h, --help|| ||show this help message and exit||
||--model||str||The map to use as a starting point for refinement||
||--lowmem|| ||Default=auto. Make limited use of memory when possible - useful on lower end machines||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--sep||int||The number of classes each particle can contribute towards (normally 1). Increasing will improve SNR, but produce rotational blurring.||
||--treeincomplete||int||Used only in binary tree classification. Incompleteness of the tree on each level.Default=0||
||--mapfragment|| ||Generate initial maps by randomly removing portions of the input map rather than by phase randomizing.||
||--projector|| ||Default=standard. Projector to use with parameters.||
||--simalign||str||Default=auto. The name of an 'aligner' to use prior to comparing the images||
||--shrink||int||Default=auto. Optionally shrink the input particles by an integer amount prior to computing similarity scores. For speed purposes. 0 -> no shrinking||
||--models||str||The map to use as a starting point for refinement||
||--nosingle|| ||Normally the multi-model refinement will be followed by N single model refinements automatically. If this is set the job will finish after making the split data sets.||
||--mass||str||The ~mass of the particles in kilodaltons. May specify one number or one number for each map. Due to resolution effects, not always the true mass.||
||--cmpdiff|| ||Used only in binary tree classification. Use a mask that focus on the difference of two children.||
||--classralign||str||Default=auto. The second stage aligner which refines the results of the first alignment in class averaging.||
||--simaligncmp||str||Default=auto. Name of the aligner along with its construction arguments||
||--randclassify|| ||Generate initial maps by randomly assigning the particles in each class to each model after the first iteration.||
||--classkeepsig|| ||Change the keep ('--keep') criterion from fraction-based to sigma-based.||
||--version|| ||show program's version number and exit||
||--simraligncmp||str||Default=auto. The name and parameters of the comparitor used by the second stage aligner.||
||--classaverager||str||Default=auto. The averager used to generate the class averages. Default is 'mean'.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--threads||int||Number of threads to run in parallel on a single computer when multi-computer parallelism isn't useful||
||--simcmp||str||Default=auto. The name of a 'cmp' to be used in comparing the aligned images||
||--iter||int||The total number of refinement iterations to perform. Default=auto||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--classcmp||str||Default=auto. The name and parameters of the comparitor used to generate similarity scores, when class averaging.||
||--simmask||str||Default=auto. A file containing a single 0/1 image to apply as a mask before comparison but after alignment||
||--m3dpostprocess||str||Default=none. An arbitrary post-processor to run after all other automatic processing. Maps are autofiltered, so a low-pass filter is not required here.||
||--simralign||str||Default=auto. The name and parameters of the second stage aligner which refines the results of the first alignment||
||--randphase|| ||Generate initial maps by randomizing the phase of the given model.||
||--classaligncmp||str||Default=auto. This is the name and parameters of the comparitor used by the fist stage aligner.||
||--m3dkeep||float||The fraction of slices to keep in e2make3d.py. Default=0.8 -> 80%%||
||--shrinks1||int||The level of shrinking to apply in the first stage of the two-stage classification process. Default=0 (autoselect)||
||--classkeep||float||The fraction of particles to keep in each class, based on the similarity score. (default=0.9 -> 90%%)||
||--prefilt|| ||Default=auto. Filter each reference (c) to match the power spectrum of each particle (r) before alignment and comparison. Applies both to classification and class-averaging.||
||--classalign||str||Default=auto. If doing more than one iteration, this is the name and parameters of the 'aligner' used to align particles to the previous class average.||
||--classrefsf|| ||Default=True. Use the setsfref option in class averaging to produce better filtered averages.||
||--treeclassify|| ||Classify using a binary tree. This will call e2classifytree.py for particle classification, replacing e2simmx2stage.py and e2classify.py. This function is still experimental.||
||--sym|| ||Specify symmetry - choices are: c<n>, d<n>, tet, oct, icos. You can specify either a single value or one for each model.||
||--nmodels||int||The total number of different maps to generate. Specify with --model, but not with --models||
||--prethreshold|| ||Applies a threshold to the volume just before generating projections. A sort of aggressive solvent flattening for the reference.||
||-h, --help|| ||show this help message and exit||
