||option||type||description||
||--dump|| ||Dump the tile dictionary from the file||
||--display||str||Displays a specific tile (level,x,y))||
||--tilesize||int||Build a new tile file from this image||
||-h, --help|| ||show this help message and exit||
||--version|| ||show program's version number and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--build||str||Build a new tile file from the specified image||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--buildpspec||float||Builds 1D and 2D power spectra for the images when building, Value is A/pix for image.||
||-h, --help|| ||show this help message and exit||
