||option||type||description||
||--ymin||int||Start tiling on this y-pixel. If -1, will start one boxsize inward.||
||--ymax||int||Generate tiles in y-direction until this many pixels. If -1, will tile the entire image.||
||--xmax||int||Generate tiles in x-direction until this many pixels. If -1, will tile the entire image.||
||--xstep||int||Step length in x-direction. If less than --boxsize, tiles will overlap. Default is 256.||
||-h, --help|| ||show this help message and exit||
||--ystep||int||Step length in y-direction. If less than --boxsize, tiles will overlap. Default is 256.||
||--version|| ||show program's version number and exit||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||--xmin||int||Start tiling on this x-pixel. If -1, will start one boxsize inward.||
||--boxsize||int||Box size for each tile in pixels. Default is 512.||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness||
||-h, --help|| ||show this help message and exit||
