||option||type||description||
||--defocusmax||float||Default=0.0, not used. If --autofit, maximum autofit defocus. A value will be estimated based on tilt angle and distance from the tilt axis.||
||--thickness||int||This corresponds to the spread of the specimen in Z in the tomogram, at the same binning (sampling) as the provided tiltseries, images or subtiltseries.||
||--voltage||int||Default=200. Voltage of the microscope with which the images where collected. Supply it to replace the value in ctfparamsfile(s), or if ctfparamsfile(s) are lacking altogether.||
||--mintiles||int||Minimum number of 'good tiles' in strip to consider it.||
||--subtiltsdir||str||Provide a directory containing individual stacks, where each stack is a 'mini tilt series' or a 'subtilt series' for single particles. Then, each image for each particle in the dir will be phase-phlipped using the ctf parameters you provide. If each image in the subtilt series is at a different defocus, then the parameters should be provided through --ctfparamsfile, whith a different defocus value per row. (There should be as many rows as images in each subtiltseries).||
||--saveffts|| ||Saves ffts of each average of tiles per strip, for all images.||
||--ppid||int||Set the PID of the parent process, used for cross platform PPID||
||--verbose, -v||int||verbose level [0-9], higner number means higher level of verboseness.||
||--angles||str||Default=None. Overwrites --anglesfile. Comma separated list of tilt angles.||
||--path||str||Directory to store results in. The default is a numbered series of directories containing the prefix 'sptctf'; for example, sptctf_02 will be the directory by default if 'sptctf_01' already exists.||
||--targetdefocus||float||Default=0 (not used). Target defocus at the tilt axis. In the absence of ctfparamsfile(s) this value will be assumed to be the defocus at the tilt axis for all tilt images and will be used to constrain calculation of the global defocus of each image.||
||--invert|| ||Invert the contrast of the output data, compared to the input data.||
||--savestriptiles|| ||Saves all tiles for all strips, for all images, in one stack per strip.||
||--radius||int||Radius of the particle in pixels.||
||--imagestem||str||Default=None. If the images to apply ctf correction on are already unstacked and are individual mrc files, supply a common string to all of them.||
||--defocilist||str||Text file containing a single column of defocus values in microns. The file should have as many defocus values as images in the tiltseries or subtiltseries supplied.||
||--cs||float||Default=2.1. Cs of the microscope with which the images were collected. Supply it to replace the value in ctfparamsfile(s), or if ctfparamsfile(s) are lacking altogether.||
||--exclude||str||Default=None. Only works if --tiltseries is provided. Comma-separated list of image indexes in the --tiltseries to exclude from CTF fitting. For example, --exclude 0,3,4,6,7.||
