||option||type||description||
||--threads||int||Number of threads||
||--minloss||float||Stop refinement when the loss is lower than this value.||
||--nofiducial|| ||Fiducial-less mode. This will change a few internal parameters to make it work.||
||--pkeep||float||Fraction of landmarks to keep in the tracking.||
||--tltax||float||Angle of the tilt axis. The program will calculate one if this option is not provided||
||--verbose||int||Verbose||
||-h, --help|| ||show this help message and exit||
||--npk||int||Number of landmarks to use.||
||--version|| ||show program's version number and exit||
||--tltkeep||float||Fraction of tilts to keep in the reconstruction.||
||--generate_doc|| ||Extract help strings of each command line argument and generate wiki table.||
||--zeroid||int||Index of the center tilt. Ignored when rawtlt is provided.||
||--rawtlt||str||Text file contains raw tilt angles||
||--tltstep||float||Step between tilts. Ignored when rawtlt is provided.||
||--reconmode||str||Reconstruction mode. Choose from nearest_neighbor, gauss_2, gauss_3, and gauss_5.||
||--niter||int||Number of iterations||
||--bxsz||int||Box size of the particles for tracking||
||--rmgold|| ||Remove gold fiducials.||
||--writetmp|| ||Write intermidiate files||
||-h, --help|| ||show this help message and exit||
||--loadparam||str||Load from existing param file||
